source,target,weight
Androgen,DNASE2B,3.0113287
Androgen,PHF8,1.8696449
Androgen,ARHGEF26,5.31108
Androgen,UAP1,7.6223593
Androgen,ECI2,4.268102
Androgen,ADPRM,4.1334887
Androgen,GRHL2,4.295725
Androgen,ENDOD1,6.5161524
Androgen,NCAPD3,8.440902
Androgen,AZGP1,5.8183503
Androgen,ACP3,-3.014728
Androgen,TSPAN3,-3.0469482
Androgen,IGF1,2.6801176
Androgen,PDE9A,2.9002094
Androgen,SYTL2,-5.3895364
Androgen,PPP2CB,2.352618
Androgen,MYNN,-2.9188044
Androgen,RAB3B,4.3931
Androgen,SEC14L2,4.3885274
Androgen,PSMD8,3.6573284
Androgen,UBE2J1,3.760021
Androgen,FUT8,-4.4059534
Androgen,PAK1IP1,7.6919317
Androgen,MANEA,-4.0041466
Androgen,GCG,-2.171336
Androgen,SELENOP,6.3367805
Androgen,TRPM8,3.8354187
Androgen,SCAP,2.929211
Androgen,MCCC2,2.8080049
Androgen,NNMT,6.090327
Androgen,GREB1,5.5649567
Androgen,ABHD2,5.2295184
Androgen,PNLIP,2.4413633
Androgen,MAPK6,3.246535
Androgen,TNFAIP8,6.830594
Androgen,TMEM38B,-4.1328363
Androgen,KALRN,-1.1891885
Androgen,MPZL1,2.503404
Androgen,ZBTB10,4.66306
Androgen,COLEC12,-3.875356
Androgen,DENND1B,-3.51973
Androgen,TRIM45,-2.4815292
Androgen,RAB27A,4.1886587
Androgen,GRB10,-4.8907585
Androgen,AKAP5,2.3686802
Androgen,SNRK,-2.2858937
Androgen,KLK15,1.2827646
Androgen,SAYSD1,-1.6102953
Androgen,TRIM36,3.3379312
Androgen,ORC5,3.2846985
Androgen,PLA2G5,1.6027378
Androgen,CHKA,3.7443159
Androgen,ABCC1,3.4497247
Androgen,PPP1CB,3.3583555
Androgen,BARD1,-4.809691
Androgen,HEBP2,2.8169453
Androgen,OLA1,2.337639
Androgen,TENM1,2.3795295
Androgen,GALNT10,-2.9719958
Androgen,CREBZF,-1.8409792
Androgen,INPP4B,4.804519
Androgen,MAN1A1,-6.214564
Androgen,RARB,2.7037332
Androgen,SLC43A1,4.035577
Androgen,PPFIBP2,2.9443617
Androgen,ST6GALNAC5,-2.3987193
Androgen,PCTP,3.4109511
Androgen,PITX1,-2.6804025
Androgen,IRS2,6.853663
Androgen,MYRIP,-3.0154507
Androgen,FECH,2.5699794
Androgen,SOCS2,4.6614933
Androgen,MYCBP2,2.5376332
Androgen,SLC35F2,4.5373507
Androgen,MAPRE2,-1.9248115
Androgen,TULP4,-3.1907995
Androgen,ATP1A1,2.7792637
Androgen,SEC24D,2.9580724
Androgen,PTPN21,2.0626051
Androgen,KCND2,2.7690914
Androgen,TRPS1,-3.761351
Androgen,FICD,3.2175245
Androgen,ZNF613,1.7407224
Androgen,PFKFB2,1.8919566
Androgen,TIPARP,8.332359
Androgen,EFCAB11,-1.6872497
Androgen,CNGB3,1.0782435
Androgen,ZBTB43,-3.1467733
Androgen,SLC16A6,6.4719386
Androgen,ATMIN,2.7445757
Androgen,SPRYD7,2.2790816
Androgen,NEDD4L,3.6475406
Androgen,INSL5,-1.3848815
Androgen,DBI,5.254296
Androgen,MAP9,3.2198632
Androgen,DNAJB9,4.901283
Androgen,LIN7B,2.016175
Androgen,MID1,-3.303559
Androgen,PRKCH,3.085523
Androgen,LONRF1,2.3126962
Androgen,NT5DC3,3.0050728
Androgen,INTS8,-2.7727072
Androgen,DIO1,-3.058123
Androgen,WNT7B,2.7215416
Androgen,FAM110B,2.6925762
Androgen,TUT7,2.484553
Androgen,HPGD,7.5389743
Androgen,AMIGO2,-8.630805
Androgen,CPEB3,2.4057221
Androgen,TAPT1,-1.4202766
Androgen,CARTPT,1.1844867
Androgen,TGM3,-1.8027165
Androgen,ZBBX,-1.6741104
Androgen,EFHC2,-1.706121
Androgen,TEX2,3.2995381
Androgen,MTOR,1.5902666
Androgen,ACSM1,1.1669407
Androgen,ABCG2,-4.016547
Androgen,DCAF6,2.6639667
Androgen,APOF,-1.3079275
Androgen,SPTLC3,-2.8092163
Androgen,BBX,2.9698348
Androgen,LCP1,3.6925628
Androgen,SLC19A2,5.2802634
Androgen,DEGS1,5.0940986
Androgen,LTN1,-2.45146
Androgen,STK17B,3.6938622
Androgen,SEC24B,2.814524
Androgen,ACACA,2.2956004
Androgen,SSR1,2.219516
Androgen,PARVA,2.0519125
Androgen,GNAI1,3.3350632
Androgen,PNMA1,3.4647794
Androgen,GCFC2,3.1099865
Androgen,GUCY1A1,2.6846805
Androgen,SLC12A6,-2.6936479
Androgen,CNGA1,-1.6209354
Androgen,BMERB1,-2.089859
Androgen,ARHGAP6,1.7856895
Androgen,APPBP2,2.9838881
Androgen,MYLK,-3.093419
Androgen,FZD3,-2.983795
Androgen,MICU1,-2.341111
Androgen,TNFRSF10B,2.904762
Androgen,BCAP29,2.1245904
Androgen,SERP1,2.079451
Androgen,SERPINI1,-3.4972742
Androgen,EHF,3.1774063
Androgen,ZNF350,1.9330655
Androgen,LUZP2,-1.7283345
Androgen,HOXB13,-2.196143
Androgen,CNKSR2,1.8155291
Androgen,CHPT1,2.7074742
Androgen,CYTH1,2.0523565
Androgen,ADGRV1,-1.0444449
Androgen,BCHE,-3.774738
Androgen,PTBP2,-2.0173743
Androgen,MTMR2,2.1364675
Androgen,HSD17B11,3.3898127
Androgen,SPOCK1,4.066598
Androgen,PRR15L,3.8148997
Androgen,GMPPA,1.8142358
Androgen,ANKH,2.8727763
Androgen,WDR44,1.6593353
Androgen,RALB,-2.7136056
Androgen,DGKH,-1.9898661
Androgen,MAP7D1,2.5372524
Androgen,ERP44,1.2806253
Androgen,RNF43,-2.7115324
Androgen,CCDC93,-1.70367
Androgen,RBFOX2,-1.413645
Androgen,KDELR2,2.306635
Androgen,LYVE1,5.5120015
Androgen,ADAM22,-1.0260388
Androgen,PKP4,-2.0471506
Androgen,KLF5,5.1602354
Androgen,ERN1,2.629805
Androgen,LPCAT4,-1.818006
Androgen,NDRG1,10.621981
Androgen,ATP11B,1.8264208
Androgen,CREB3L2,2.1923342
Androgen,HERPUD1,3.3513677
Androgen,NAT1,4.3676615
Androgen,SRP19,2.678465
Androgen,PLPPR1,-1.4643493
Androgen,SYNJ1,2.0766
Androgen,GHR,4.7767825
Androgen,HIPK2,2.872293
Androgen,TAOK3,2.0829341
Androgen,NOVA1,-1.2730491
Androgen,BMPR1A,2.3661907
Androgen,DDX42,-1.7999277
Androgen,ABCG1,-2.792402
Androgen,PRKCA,2.0500371
Androgen,ZFHX3,1.5932019
Androgen,NPC1,2.1684098
Androgen,PRDX6,2.2240067
Androgen,GPER1,-2.0719187
Androgen,IL1R1,3.3964343
Androgen,PDSS2,-0.97803086
Androgen,EPB41L4B,1.3465683
Androgen,GORASP2,1.9264821
Androgen,GASK1B,-5.3010287
Androgen,MYH10,-2.5981317
Androgen,PLPP2,-2.1713345
Androgen,SLC20A2,-2.318736
Androgen,COBL,-2.2870455
Androgen,PAK1,-1.9354379
Androgen,TMEM47,3.590323
Androgen,CDC42EP3,4.797844
Androgen,ERGIC2,1.8432499
Androgen,NDUFV1,-1.2954984
Androgen,RNFT2,-1.8674252
Androgen,TSPAN5,-2.3840487
Androgen,SEMA6A,-2.6114736
Androgen,SC5D,2.3750763
Androgen,CAMK1D,-1.8526742
Androgen,SLC44A1,-2.283236
Androgen,SAP30,1.9199684
Androgen,REPS2,2.4455855
Androgen,RREB1,0.9101651
Androgen,LRCH1,1.9541787
Androgen,THRB,2.0465398
Androgen,STK3,-1.7472544
Androgen,PTPRR,-3.497998
Androgen,SMPD2,2.0089614
Androgen,UQCC1,-1.3936336
Androgen,CLGN,3.6295445
Androgen,PGM3,2.424128
Androgen,ACAD8,3.0277185
Androgen,NKX3-2,1.7640364
Androgen,SASH1,3.6682029
Androgen,IFT57,1.9470038
Androgen,PKNOX2,-1.3258104
Androgen,ABCA12,-3.3448958
Androgen,KCTD3,2.7547095
Androgen,MANBA,-3.1423285
Androgen,PTRH2,2.5817456
Androgen,PPFIBP1,1.7948039
Androgen,SLCO2A1,5.0161095
Androgen,MYT1,-0.8525773
Androgen,CYP11A1,1.3625941
Androgen,COL5A2,-3.2604806
Androgen,SLC5A1,-1.1172699
Androgen,SH3D21,1.6012014
Androgen,SH3BGRL,2.9809952
Androgen,PATZ1,-1.3223495
Androgen,CMC2,3.9173088
Androgen,NFKBIA,5.741803
Androgen,GLRX2,3.392302
Androgen,RLN1,1.5634017
Androgen,TMEM39A,1.5647758
Androgen,MCTP1,-2.8360457
Androgen,VCL,2.2936122
Androgen,RNF2,1.2664723
Androgen,ELOVL2,3.2576632
Androgen,MACIR,-3.2453775
Androgen,GARNL3,-0.8882748
Androgen,ATXN2,1.701483
Androgen,UBE2E1,1.6745703
Androgen,ALDH1A3,4.4311433
Androgen,UBE2D1,1.9050342
Androgen,CNTNAP2,1.2636182
Androgen,RNF34,-1.678681
Androgen,HSPA1L,-1.2612516
Androgen,SPATA2,1.5131812
Androgen,OSR2,-4.5682793
Androgen,FADS2,2.0687218
Androgen,NFIB,2.3009455
Androgen,HTATSF1,-1.7934942
Androgen,ABCA1,-2.1765978
Androgen,LAT2,1.3139793
Androgen,GOLGA5,2.096354
Androgen,CRISP3,2.1994812
Androgen,MTREX,-1.6185575
Androgen,ADRA2A,2.148151
Androgen,FRYL,1.945577
Androgen,EDEM3,3.2136908
Androgen,POU2F3,-1.2046397
Androgen,ST3GAL1,-3.0719652
Androgen,RADX,-1.2951341
Androgen,RAP1B,-2.166532
Androgen,SSR3,2.7378488
Androgen,LAMC1,2.4704509
Androgen,GBF1,1.5391362
Androgen,STYK1,2.1628985
Androgen,DMRT1,-1.2150981
Androgen,ARHGAP1,1.1107888
Androgen,SLC25A37,2.2795348
Androgen,COQ7,-1.3524213
Androgen,USO1,1.9186249
Androgen,OSBP,1.1720234
Androgen,DSC1,1.819176
Androgen,PRPF6,-1.6368879
Androgen,EXTL2,2.6385858
Androgen,KIF5B,-2.0280046
Androgen,FKBP11,2.0097015
Androgen,SPCS3,2.3742542
Androgen,PIK3R3,-2.7986174
Androgen,AFG3L2,-1.294939
Androgen,PIK3C2A,1.7735885
Androgen,MECOM,-1.0776079
Androgen,NANS,1.7482604
Androgen,GLE1,-1.0550445
Androgen,DYM,1.3976364
Androgen,OSGEP,-1.284703
Androgen,SART3,-1.3701739
Androgen,ZNF532,2.2692134
Androgen,RNF14,1.8407134
Androgen,WDR41,1.2957268
Androgen,ANP32E,-2.9700556
Androgen,ABI3BP,2.8220062
Androgen,DNAAF11,-1.3437947
Androgen,KLHL36,1.3534133
Androgen,CAND1,-1.1862606
Androgen,MEAF6,1.5292594
Androgen,SCYL3,-2.2339249
Androgen,CAB39L,1.8207515
Androgen,DLG2,1.222397
Androgen,HUS1,1.2915702
Androgen,KLHL29,1.0116307
Androgen,LGALS8,-1.9144018
Androgen,ENC1,-4.185109
Androgen,SWAP70,-1.8317858
Androgen,POLR1F,2.0483603
Androgen,WLS,-2.9595833
Androgen,DERL1,1.2935003
Androgen,RNF41,1.670792
Androgen,ANGPT2,2.111561
Androgen,ZNF652,2.9051573
Androgen,ATP2B1,-3.8598268
Androgen,ZNF589,1.2668198
Androgen,SEC24A,2.5085788
Androgen,TRIM33,1.5891473
Androgen,MAOA,3.4302032
Androgen,NEK1,-1.5357494
Androgen,NSDHL,2.1706777
Androgen,HNRNPH1,-1.5652968
Androgen,REEP1,-2.6417553
Androgen,MOGAT2,0.8718032
Androgen,SSR2,1.6862595
Androgen,ADPGK,1.3211408
Androgen,PELI2,-1.7268678
Androgen,COQ6,-1.2920396
Androgen,CD2AP,1.6193471
Androgen,CAP2,2.1207063
Androgen,PDS5B,1.2527244
Androgen,ADGRB2,-1.3678726
Androgen,EXTL3,-1.1296986
Androgen,LASP1,-2.185298
Androgen,MICAL2,2.4040658
Androgen,OSBPL8,2.0479062
Androgen,FLOT2,-1.5301536
Androgen,TBC1D4,3.0870721
Androgen,ITGAV,2.942991
Androgen,NCBP2,-1.4286747
Androgen,CSNK1G3,1.467933
Androgen,FBXW2,1.1680337
Androgen,DNAJC10,1.9629048
Androgen,ATP8A1,-1.6713903
Androgen,RGS10,-1.6670709
Androgen,FFAR2,-2.3756468
Androgen,HFE,-1.0403962
Androgen,TBC1D8,3.7620187
Androgen,BBS4,1.8932494
Androgen,ZBTB1,1.9529985
Androgen,ABITRAM,1.558156
Androgen,LIMCH1,2.606168
Androgen,EVC,-0.9194009
Androgen,REXO2,-1.7913564
Androgen,PLA2G2A,-2.630342
Androgen,TMEM131L,-2.0129933
Androgen,CALU,2.2689023
Androgen,WWP1,2.3533766
Androgen,TXLNGY,1.053989
Androgen,TDP1,-1.5596429
Androgen,COPB1,1.3725905
Androgen,MCPH1,1.0215952
Androgen,IL20RA,1.2555939
Androgen,M6PR,-1.9436189
Androgen,PCNX2,1.0671029
Androgen,ZFYVE16,1.6842297
Androgen,BAMBI,-5.310862
Androgen,PIGH,1.5960752
Androgen,FDFT1,2.5299194
Androgen,TMEM106C,-2.0675967
Androgen,KCNS3,-2.808475
Androgen,KMT5A,1.8094118
Androgen,KCNJ3,-1.1802434
Androgen,C1orf115,-1.5373198
Androgen,SRGAP3,-1.0282762
Androgen,FAM107A,0.9650378
Androgen,HERC1,-1.2759697
Androgen,TRIM24,1.0804913
Androgen,RGS17,-2.460739
Androgen,THUMPD1,1.8355827
Androgen,MARCHF5,1.5887327
Androgen,RAP2B,-1.9442843
Androgen,BAZ1B,-0.9792907
Androgen,CTC1,-0.9971457
Androgen,CCNK,1.3733832
Androgen,TEK,0.97800297
Androgen,DPP4,2.0141373
Androgen,FASN,1.8743562
Androgen,MAGI1,-0.8451748
Androgen,HDAC1,-1.8162618
Androgen,NET1,-3.0258284
Androgen,TMEM132A,-1.1977042
Androgen,ACADL,0.8750789
Androgen,DEPTOR,-2.706065
Androgen,TSPAN15,-1.889441
Androgen,HMGCR,3.8436224
Androgen,KDM5A,-1.514546
Androgen,ATP6V1H,-1.086034
Androgen,DCTN1,-1.2739602
Androgen,TSPAN9,-0.9318323
Androgen,SPINT2,-1.5735809
Androgen,CDC42BPA,1.0983768
Androgen,TG,1.0074775
Androgen,NTAQ1,2.021957
Androgen,TNFRSF21,-4.0996118
Androgen,NAB1,-1.7757307
Androgen,CRYM,1.5167749
Androgen,EHMT2,-1.0218639
Androgen,TMED10,1.5726068
Androgen,NONO,-1.4126083
Androgen,HNRNPM,-1.2671179
Androgen,R3HCC1L,-1.2434331
Androgen,SSX2IP,1.7380137
EGFR,LZTFL1,-1.8738769
EGFR,PHLDA2,3.5051384
EGFR,DUSP6,12.6293125
EGFR,DUSP5,7.9430394
EGFR,PHLDA1,6.619626
EGFR,CRIPT,-2.0449378
EGFR,DUSP4,6.96718
EGFR,EPHA2,5.4111843
EGFR,MCCC1,-2.1703236
EGFR,HAS3,2.9237378
EGFR,VAV3,-3.386485
EGFR,FOSL1,7.64783
EGFR,SENP7,-2.1103437
EGFR,BZW1,2.746152
EGFR,EGR4,2.9530764
EGFR,POT1,-1.8333008
EGFR,LAMC2,3.9201157
EGFR,ATG2B,-1.6455804
EGFR,NR1D2,-3.0832725
EGFR,LARP7,-0.9170775
EGFR,MYO1A,0.9947781
EGFR,GOLPH3L,-2.741525
EGFR,KIAA1522,-2.5069416
EGFR,ADORA1,1.26781
EGFR,RABGAP1,-1.2694002
EGFR,SYF2,-1.4076358
EGFR,BBIP1,-1.1843189
EGFR,PCMTD2,-2.1953754
EGFR,CHRNA10,0.6899809
EGFR,MARF1,-2.2984686
EGFR,RETREG3,-2.1223178
EGFR,PNP,4.64362
EGFR,ATXN3,-1.2742786
EGFR,ETFDH,-1.6684587
EGFR,SPOCD1,4.2956896
EGFR,NBR1,-1.9972034
EGFR,TRIB1,3.9177945
EGFR,ELF2,-1.3429286
EGFR,PLEK2,3.439257
EGFR,CLDN8,-2.0187078
EGFR,ZNF224,-1.3973099
EGFR,CBARP,0.9794425
EGFR,RNF146,-2.1708212
EGFR,EAPP,-2.2398996
EGFR,BSDC1,-1.269369
EGFR,RAB33B,-1.7836428
EGFR,MBTPS1,-1.4066014
EGFR,MDFI,1.160109
EGFR,KCNF1,1.5758758
EGFR,RBM48,-1.0537742
EGFR,KLHDC2,-3.5939298
EGFR,AEN,2.987403
EGFR,PWP2,1.1724883
EGFR,DYNC2LI1,-1.4302386
EGFR,CCDC28A,-3.1018147
EGFR,EFHC1,-2.0346036
EGFR,XRCC3,1.4879571
EGFR,SPATA2L,1.7564976
EGFR,SLC45A3,1.9024389
EGFR,WDR19,-1.4937894
EGFR,TRH,0.77196467
EGFR,TMEM59,-1.8640665
EGFR,CEPT1,-0.99459374
EGFR,ZNF75D,-1.3158195
EGFR,TUBB4B,4.0845103
EGFR,HMOX2,1.719638
EGFR,ODC1,4.6785507
EGFR,EXD3,0.7799245
EGFR,RCOR3,-1.6707724
EGFR,ZNF350,-1.2635001
EGFR,DCAF13,1.434233
EGFR,N4BP2L2,-1.5940146
EGFR,AJUBA,-3.1932647
EGFR,MMUT,-1.6908696
EGFR,CFL1,1.3292454
EGFR,GPR75,1.0370395
EGFR,TRIM52,-2.0121603
EGFR,ZNF451,-1.0560069
EGFR,GRAMD1C,-2.797092
EGFR,C2CD5,-1.939043
EGFR,ZNF571,-1.9039669
EGFR,ZBED8,-3.1168487
EGFR,PTHLH,3.6139767
EGFR,CARF,-1.601284
EGFR,SH2D5,2.432133
EGFR,ZSCAN31,-3.1000917
EGFR,MYEOV,1.7266325
EGFR,PNISR,-1.595388
EGFR,TTC33,-1.384409
EGFR,DSPP,2.350387
EGFR,ANAPC16,-1.8210183
EGFR,EGR3,6.2714157
EGFR,FOXN3,-1.679543
EGFR,PEX1,-1.6616625
EGFR,TOMM34,1.8059788
EGFR,ABHD18,-1.2730325
EGFR,NPNT,-1.871356
EGFR,SUDS3,-2.1953197
EGFR,GABARAPL1,-2.9596434
EGFR,AUH,-2.1940036
EGFR,CDKN1B,-3.2676659
EGFR,HACE1,-2.489462
EGFR,TPM3,0.9241115
EGFR,RELT,2.291653
EGFR,CREG1,-2.1134245
EGFR,GAL,2.1627758
EGFR,CD160,0.7620558
EGFR,ZBTB3,-1.418173
EGFR,C11orf54,-2.5908427
EGFR,HOXC6,-2.426993
EGFR,LIPG,3.6110659
EGFR,STX1A,1.6968879
EGFR,USP36,1.5925431
EGFR,ASB8,-1.4393976
EGFR,NNT,-1.5064225
EGFR,USP48,-0.9875196
EGFR,ALOXE3,1.8749732
EGFR,ZNHIT3,-1.2972691
EGFR,ZFP2,-1.1189758
EGFR,SLC20A1,5.1475043
EGFR,CDIPT,-1.6732391
EGFR,SEC14L2,1.3834125
EGFR,IFT80,-2.011725
EGFR,CCDC6,-1.7208146
EGFR,CEP68,-1.6695548
EGFR,ZNF696,1.1228122
EGFR,ZBTB44,-1.7809504
EGFR,IER2,4.0866423
EGFR,MMP1,7.648753
EGFR,TUBB6,3.1450665
EGFR,JRKL,-0.9994246
EGFR,RAB11FIP4,-1.0527948
EGFR,KLHL24,-3.6290028
EGFR,IFT74,-1.6737607
EGFR,KRT6A,2.6292717
EGFR,FAAH2,-1.7313225
EGFR,LRRC8E,0.94770396
EGFR,TRIM23,-1.6965818
EGFR,MAP3K14,1.9845062
EGFR,BICRAL,-2.01544
EGFR,MRPS14,-1.2971525
EGFR,YRDC,2.934695
EGFR,RETREG2,-1.6846813
EGFR,ATG14,-2.3601472
EGFR,KLF2,1.7413919
EGFR,AREG,3.8879676
EGFR,ZNF302,-1.7150815
EGFR,STX19,-1.5755275
EGFR,IDI2,1.127955
EGFR,SCPEP1,-1.5832314
EGFR,QSOX2,1.8415308
EGFR,XDH,1.895812
EGFR,IER5,3.6721325
EGFR,OARD1,-1.738867
EGFR,KPNA5,-1.4634249
EGFR,QRICH2,1.2178425
EGFR,ZFYVE26,-1.764798
EGFR,CEP57,-1.8505663
EGFR,SLC16A4,-3.1461315
EGFR,ENPP5,-2.4243329
EGFR,TMEM260,-1.7511042
EGFR,PIN4,-0.9095882
EGFR,GRHL2,-1.4120508
EGFR,LRP8,3.657799
EGFR,KIF16B,-1.363788
EGFR,ABO,0.7603678
EGFR,MKRN1,-1.8034136
EGFR,FGFBP1,2.8652263
EGFR,RTN3,-1.4893045
EGFR,TSC1,-1.4839906
EGFR,C6orf141,2.370239
EGFR,PBOV1,0.6864852
EGFR,TNFRSF10A,4.192945
EGFR,HADHB,-1.6431429
EGFR,ARID4A,-2.1592712
EGFR,TUBB3,3.2497642
EGFR,GNPAT,-1.0555564
EGFR,ARID3B,1.4879699
EGFR,CDKL3,-0.8087666
EGFR,CLN3,-1.4205214
EGFR,RAB5B,-1.7723118
EGFR,GPRIN1,1.2699636
EGFR,MAT2B,-1.1929196
EGFR,KDM3B,-1.3586515
EGFR,CBR4,-1.6036131
EGFR,PBX1,-2.5432189
EGFR,TDRD1,-0.9261483
EGFR,PAPOLG,-1.1181699
EGFR,FBXL4,-1.6637198
EGFR,UPP1,3.7287092
EGFR,SGSM3,-0.8991152
EGFR,TMEM200A,4.069693
EGFR,NIP7,3.0093627
EGFR,PIK3IP1,-1.9546312
EGFR,CCND1,4.799793
EGFR,ABCA5,-1.8108197
EGFR,ERCC5,-1.8135796
EGFR,PAIP2B,-1.4261225
EGFR,C11orf71,-1.7544323
EGFR,PNPLA6,-1.4424777
EGFR,HECA,-1.356616
EGFR,SELENBP1,-2.8946688
EGFR,CCDC86,2.8251517
EGFR,STX7,-1.4353492
EGFR,CLCF1,2.6073804
EGFR,KAT6B,-1.2249718
EGFR,EFCAB7,-3.610503
EGFR,CRYZL1,-1.1861743
EGFR,GTPBP4,2.59794
EGFR,TNFRSF12A,4.4693403
EGFR,ZNF133,-1.1100639
EGFR,PPWD1,-1.1557155
EGFR,LDAH,-1.2072079
EGFR,UBE4B,-1.410889
EGFR,COQ5,-2.3539379
EGFR,AFTPH,-1.3138295
EGFR,ITPKA,1.1778657
EGFR,LYAR,5.0851417
EGFR,ECH1,-1.76342
EGFR,SLC35A1,-1.8321893
EGFR,C8orf44,-1.4899609
EGFR,ITGA2,4.5057087
EGFR,MED28,-0.8740761
EGFR,MALL,3.1393108
EGFR,ACTR6,-0.960893
EGFR,IFT46,-1.0927478
EGFR,CDK19,-1.5860317
EGFR,TBC1D9,-1.5401524
EGFR,HBP1,-2.086493
EGFR,PRSS16,-1.3876954
EGFR,FMO5,-1.2536616
EGFR,UBXN7,-1.7688161
EGFR,PCDHA2,0.79696196
EGFR,AMD1,2.5948925
EGFR,IFT20,-1.7591358
EGFR,SPRED2,1.9740683
EGFR,NUPR1,-4.322272
EGFR,NMRK1,-1.6029705
EGFR,ZNF362,-1.0118101
EGFR,ARPC5L,1.8886198
EGFR,UBR2,-0.91404086
EGFR,ZBTB5,-1.4252076
EGFR,SPRY4,6.4262404
EGFR,ERMAP,-1.5962379
EGFR,CYP4B1,-1.9200536
EGFR,TUT1,1.0991589
EGFR,CCDC115,-2.3919482
EGFR,TOP1,2.8260164
EGFR,GEM,4.904812
EGFR,FBXO3,-1.0809418
EGFR,TUBB2A,3.728662
EGFR,RNF38,-1.4437649
EGFR,F2RL1,3.597526
EGFR,CORO1C,1.8510431
EGFR,PIGN,-1.307121
EGFR,SNX1,-0.9269528
EGFR,MAF1,-1.6729988
EGFR,NCK1,-1.122921
EGFR,PUS10,-1.9821854
EGFR,MTUS1,-1.9365354
EGFR,WDR48,-1.1421098
EGFR,GJB3,1.3085018
EGFR,ST3GAL1,2.1897821
EGFR,LAMTOR3,-1.3874738
EGFR,SNX2,-1.1803161
EGFR,SPOP,-1.2568725
EGFR,TMEM139,-3.1039674
EGFR,MIA2,-1.0946454
EGFR,ZNF593,1.8639699
EGFR,STMN3,1.2638896
EGFR,ACTB,2.106113
EGFR,NAB2,1.75469
EGFR,CCDC27,0.9319807
EGFR,RNF20,-2.244245
EGFR,PALS1,-1.5599045
EGFR,KIF13A,-1.3150568
EGFR,AKAP9,-1.2922674
EGFR,LYRM9,-1.3138025
EGFR,CACNG8,0.8162853
EGFR,OSCP1,-1.9921082
EGFR,PRMT2,-0.9387702
EGFR,ZNF436,-2.6848724
EGFR,RRP1,1.0671046
EGFR,PEX11A,-1.4700345
EGFR,TMEM254,-1.153864
EGFR,SOAT2,0.77372307
EGFR,SAP18,-1.0873827
EGFR,MID1,-1.7274737
EGFR,FUT9,-0.7108784
EGFR,TMEM219,-1.6565349
EGFR,SMTN,1.8625201
EGFR,RWDD2A,-1.3242159
EGFR,DDX21,3.43779
EGFR,NAA15,2.1002622
EGFR,KLF10,3.9773324
EGFR,ZNF345,-1.0808338
EGFR,GSTA4,-2.0152593
EGFR,EIF4E,1.384578
EGFR,CATSPERB,-0.84678257
EGFR,SAT2,-2.550177
EGFR,TRMT1L,-2.0475996
EGFR,YPEL1,-1.6526465
EGFR,PLAUR,3.4709942
EGFR,USP25,-1.141737
EGFR,S100PBP,-1.2917315
EGFR,BMT2,-3.927139
EGFR,EIF2AK1,-1.2404195
EGFR,POU2F3,-0.7830791
EGFR,OVOL2,-0.9932326
EGFR,BAZ2B,-2.5895298
EGFR,SPSB2,-2.8694036
EGFR,TSPO2,0.66789204
EGFR,TUBG1,2.7502406
EGFR,DMXL1,-1.7216645
EGFR,GABPA,-0.9765444
EGFR,SNX27,-0.9544026
EGFR,TMEM19,-1.2972825
EGFR,LRRC59,1.6768713
